word1,word2,partial_cor,abs_partial_cor
anima,sensus,0.3956492168566195,0.3956492168566195
bene,oportet,0.38694620562306253,0.38694620562306253
arbor,semen,0.3840951509058961,0.3840951509058961
anima,spiritus,0.3815083301390759,0.3815083301390759
oratio,orator,0.37597545969799073,0.37597545969799073
litus,mare,0.34239380540567527,0.34239380540567527
eques,miles,0.33886889423214345,0.33886889423214345
abeo,istic,0.3363933566615047,0.3363933566615047
natura,uoluptas,0.33450772289732983,0.33450772289732983
christus,deus,0.3323568331788813,0.3323568331788813
dolor,uoluptas,0.3280556148995444,0.3280556148995444
aequor,tellus,0.32175780671407866,0.32175780671407866
filius,pater,0.3192350420024393,0.3192350420024393
oportet,utor,0.3105158582194758,0.3105158582194758
aequor,unda,0.3074435036049123,0.3074435036049123
mundus,orbis,0.3020674348427674,0.3020674348427674
amo,amor,0.28730103064319734,0.28730103064319734
consul,senatus,0.2837917728616537,0.2837917728616537
acies,hostis,0.28350121164310765,0.28350121164310765
imperator,princeps,0.2820724781429411,0.2820724781429411
ars,orator,0.2701764761345846,0.2701764761345846
pietas,pius,0.2700985250179638,0.2700985250179638
mensis,semen,0.2689153831220999,0.2689153831220999
duo,tres,0.26544388796758117,0.26544388796758117
loquor,respondeo,0.2652099875585089,0.2652099875585089
prouincia,senatus,0.26301438750621026,0.26301438750621026
claudo,seruo,0.26230290555935987,0.26230290555935987
proprius,species,0.2620439110224254,0.2620439110224254
carmen,felix,0.25907953811107226,0.25907953811107226
capio,mille,0.2581032929920813,0.2581032929920813
hostis,proelium,0.2580391200156104,0.2580391200156104
dominus,sanctus,0.2577114460425796,0.2577114460425796
ingenium,studium,0.2569442962165887,0.2569442962165887
uersus,uetus,0.25385163203265754,0.25385163203265754
iudex,occido,0.2439666198340993,0.2439666198340993
copia,nauis,0.23841223681379398,0.23841223681379398
perdo,pereo,0.23832124373620722,0.23832124373620722
respondeo,senex,0.23526123726324497,0.23526123726324497
frater,senex,0.23266933120426084,0.23266933120426084
animal,species,0.2326148869081164,0.2326148869081164
agmen,campus,0.23115336161732652,0.23115336161732652
cerno,surgo,0.22422627958848915,0.22422627958848915
lego,littera,0.22380668550572924,0.22380668550572924
contineo,diuinus,0.21932970647307382,0.21932970647307382
eques,iter,0.21775513875284086,0.21775513875284086
contineo,numerus,0.21551981121527572,0.21551981121527572
gigno,luna,0.2134643204147407,0.2134643204147407
pes,uia,0.21326207097124034,0.21326207097124034
flamma,membrum,0.21304866818249207,0.21304866818249207
ignis,sidus,0.21271040110216952,0.21271040110216952
caro,corpus,0.21230295247271577,0.21230295247271577
mereo,princeps,0.2107760706066542,0.2107760706066542
casus,longus,0.21035416364786483,0.21035416364786483
caesar,castra,0.20915697087297427,0.20915697087297427
locus,pono,0.20897451238300455,0.20897451238300455
imperium,trado,0.2089064722560455,0.2089064722560455
ciuis,publicus,0.208586565873532,0.208586565873532
publicus,senatus,0.20809252862205027,0.20809252862205027
malum,malus,0.20615238093810972,0.20615238093810972
mulier,uxor,0.20583625625176158,0.20583625625176158
disco,doceo,0.2050241119378472,0.2050241119378472
oportet,uinum,0.2049469750465977,0.2049469750465977
bonum,bonus,0.20483068829244044,0.20483068829244044
ager,arbor,0.20435413624720605,0.20435413624720605
efficio,natura,0.2042939423401515,0.2042939423401515
istic,scio,0.20408633816682828,0.20408633816682828
felix,gaudeo,0.20164986777258578,0.20164986777258578
deus,diuinus,0.20096916995638076,0.20096916995638076
acies,eques,0.1993226424946245,0.1993226424946245
bellum,uictor,0.19868857467403905,0.19868857467403905
telum,turbo,0.19825182892128157,0.19825182892128157
intellego,probo,0.19782195664132032,0.19782195664132032
secundus,tertius,0.19772013368255364,0.19772013368255364
beatus,uoluptas,0.19721680751561801,0.19721680751561801
auxilium,regnum,0.1968858432950953,0.1968858432950953
extremus,tollo,0.19666078022397185,0.19666078022397185
iniuria,sapio,0.19642706868475918,0.19642706868475918
defendo,iudicium,0.19512417088763165,0.19512417088763165
amor,carmen,0.19428796011299343,0.19428796011299343
lingua,uox,0.1936999264062188,0.1936999264062188
genus,species,0.19350609836880484,0.19350609836880484
dux,pax,0.19300964465626108,0.19300964465626108
amo,istic,0.1927570039579732,0.1927570039579732
nescio,numen,0.1916366872237805,0.1916366872237805
conuenio,curo,0.19119312640673858,0.19119312640673858
